MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101054719,http://web.archive.org/web/20190101054719/https://twitter.com/JoeBiden,3173757,2019-01-01 05:47:19,0,0,0,0,0,0
20190102062209,http://web.archive.org/web/20190102062209/https://twitter.com/JoeBiden,3177371,2019-01-02 06:22:09,3614,3614,0.11,0.11,0.04084,0.04084
20190103154655,http://web.archive.org/web/20190103154655/https://twitter.com/JoeBiden,3181682,2019-01-03 15:46:55,7925,4311,0.25,0.14,0.03796,0.03584
20190104215027,http://web.archive.org/web/20190104215027/https://twitter.com/JoeBiden,3185998,2019-01-04 21:50:27,12241,4316,0.39,0.14,0.03862,0.03988
20190106025717,http://web.archive.org/web/20190106025717/https://twitter.com/JoeBiden,3190501,2019-01-06 02:57:17,16744,4503,0.53,0.14,0.0397,0.04296
20190107045112,http://web.archive.org/web/20190107045112/https://twitter.com/JoeBiden,3194975,2019-01-07 04:51:12,21218,4474,0.67,0.14,0.0412,0.04799
20190108212204,http://web.archive.org/web/20190108212204/https://twitter.com/JoeBiden,3199825,2019-01-08 21:22:04,26068,4850,0.82,0.15,0.03944,0.03325
20190109231948,http://web.archive.org/web/20190109231948/https://twitter.com/JoeBiden,3203325,2019-01-09 23:19:48,29568,3500,0.93,0.11,0.0392,0.03745
20190111230521,http://web.archive.org/web/20190111230521/https://twitter.com/JoeBiden,3208411,2019-01-11 23:05:21,34654,5086,1.09,0.16,0.03741,0.02958
20190113033242,http://web.archive.org/web/20190113033242/https://twitter.com/JoeBiden,3212399,2019-01-13 03:32:42,38642,3988,1.22,0.12,0.03756,0.03893
20190114215424,http://web.archive.org/web/20190114215424/https://twitter.com/JoeBiden,3216547,2019-01-14 21:54:24,42790,4148,1.35,0.13,0.03623,0.0272
20190115230642,http://web.archive.org/web/20190115230642/https://twitter.com/JoeBiden,3219274,2019-01-15 23:06:42,45517,2727,1.43,0.08,0.03578,0.03005
20190117001934,http://web.archive.org/web/20190117001934/https://twitter.com/JoeBiden,3221931,2019-01-17 00:19:34,48174,2657,1.52,0.08,0.03535,0.02927
20190118015310,http://web.archive.org/web/20190118015310/https://twitter.com/JoeBiden,3225197,2019-01-18 01:53:10,51440,3266,1.62,0.1,0.03536,0.03549
20190119034846,http://web.archive.org/web/20190119034846/https://twitter.com/JoeBiden,3229038,2019-01-19 03:48:46,55281,3841,1.74,0.12,0.03571,0.04115
20190120040143,http://web.archive.org/web/20190120040143/https://twitter.com/JoeBiden,3231629,2019-01-20 04:01:43,57872,2591,1.82,0.08,0.03539,0.02972
20190121222555,http://web.archive.org/web/20190121222555/https://twitter.com/JoeBiden,3236041,2019-01-21 22:25:55,62284,4412,1.96,0.14,0.03484,0.0289
20190122223505,http://web.archive.org/web/20190122223505/https://twitter.com/JoeBiden,3238620,2019-01-22 22:35:05,64863,2579,2.04,0.08,0.0346,0.02966
20190124021503,http://web.archive.org/web/20190124021503/https://twitter.com/JoeBiden,3241537,2019-01-24 02:15:03,67780,2917,2.14,0.09,0.03433,0.02929
20190125025355,http://web.archive.org/web/20190125025355/https://twitter.com/JoeBiden,3245061,2019-01-25 02:53:55,71304,3524,2.25,0.11,0.03456,0.03972
20190126030100,http://web.archive.org/web/20190126030100/https://twitter.com/JoeBiden,3248586,2019-01-26 03:01:00,74829,3525,2.36,0.11,0.0348,0.0406
20190127032434,http://web.archive.org/web/20190127032434/https://twitter.com/JoeBiden,3252127,2019-01-27 03:24:34,78370,3541,2.47,0.11,0.03502,0.04032
20190128040038,http://web.archive.org/web/20190128040038/https://twitter.com/JoeBiden,3256157,2019-01-28 04:00:38,82400,4030,2.6,0.12,0.03542,0.0455
20190129040301,http://web.archive.org/web/20190129040301/https://twitter.com/JoeBiden,3258717,2019-01-29 04:03:01,84960,2560,2.68,0.08,0.03521,0.02958
20190130224359,http://web.archive.org/web/20190130224359/https://twitter.com/JoeBiden,3260978,2019-01-30 22:43:59,87221,2261,2.75,0.07,0.03398,0.01471
20190131225948,http://web.archive.org/web/20190131225948/https://twitter.com/JoeBiden,3262732,2019-01-31 22:59:48,88975,1754,2.8,0.05,0.03353,0.02008
20190202021543,http://web.archive.org/web/20190202021543/https://twitter.com/JoeBiden,3264329,2019-02-02 02:15:43,90572,1597,2.85,0.05,0.03291,0.01627
20190203030108,http://web.archive.org/web/20190203030108/https://twitter.com/JoeBiden,3267136,2019-02-03 03:01:08,93379,2807,2.94,0.09,0.03287,0.0315
20190204042426,http://web.archive.org/web/20190204042426/https://twitter.com/JoeBiden,3269562,2019-02-04 04:24:26,95805,2426,3.02,0.07,0.03267,0.02654
20190205224914,http://web.archive.org/web/20190205224914/https://twitter.com/JoeBiden,3272571,2019-02-05 22:49:14,98814,3009,3.11,0.09,0.03203,0.01971
20190207034916,http://web.archive.org/web/20190207034916/https://twitter.com/JoeBiden,3277078,2019-02-07 03:49:16,103321,4507,3.26,0.14,0.03239,0.04317
20190208215318,http://web.archive.org/web/20190208215318/https://twitter.com/JoeBiden,3280116,2019-02-08 21:53:18,106359,3038,3.35,0.09,0.03183,0.02006
20190209220911,http://web.archive.org/web/20190209220911/https://twitter.com/JoeBiden,3282674,2019-02-09 22:09:11,108917,2558,3.43,0.08,0.03177,0.02928
20190210221640,http://web.archive.org/web/20190210221640/https://twitter.com/JoeBiden,3287501,2019-02-10 22:16:40,113744,4827,3.58,0.15,0.03236,0.05558
20190212032843,http://web.archive.org/web/20190212032843/https://twitter.com/JoeBiden,3291009,2019-02-12 03:28:43,117252,3508,3.69,0.11,0.03239,0.03337
20190213033513,http://web.archive.org/web/20190213033513/https://twitter.com/JoeBiden,3293789,2019-02-13 03:35:13,120032,2780,3.78,0.08,0.03238,0.03203
20190214040332,http://web.archive.org/web/20190214040332/https://twitter.com/JoeBiden,3296113,2019-02-14 04:03:32,122356,2324,3.86,0.07,0.03224,0.02638
20190215080249,http://web.archive.org/web/20190215080249/https://twitter.com/JoeBiden,3298821,2019-02-15 08:02:49,125064,2708,3.94,0.08,0.0321,0.02688
20190216224034,http://web.archive.org/web/20190216224034/https://twitter.com/JoeBiden,3303193,2019-02-16 22:40:34,129436,4372,4.08,0.13,0.03208,0.03144
20190218014716,http://web.archive.org/web/20190218014716/https://twitter.com/JoeBiden,3305651,2019-02-18 01:47:16,131894,2458,4.16,0.07,0.03191,0.02518
20190219023538,http://web.archive.org/web/20190219023538/https://twitter.com/JoeBiden,3307757,2019-02-19 02:35:38,134000,2106,4.22,0.06,0.03174,0.02358
20190220024129,http://web.archive.org/web/20190220024129/https://twitter.com/joebiden,3310235,2019-02-20 02:41:29,136478,2478,4.3,0.07,0.03167,0.02856
20190221052014,http://web.archive.org/web/20190221052014/https://twitter.com/JoeBiden,3312657,2019-02-21 05:20:14,138900,2422,4.38,0.07,0.03153,0.02525
20190222085751,http://web.archive.org/web/20190222085751/https://twitter.com/JoeBiden,3315070,2019-02-22 08:57:51,141313,2413,4.45,0.07,0.03137,0.02426
20190223181828,http://web.archive.org/web/20190223181828/https://twitter.com/JoeBiden,3317878,2019-02-23 18:18:28,144121,2808,4.54,0.08,0.03117,0.02339
20190224233606,http://web.archive.org/web/20190224233606/https://twitter.com/JoeBiden,3320294,2019-02-24 23:36:06,146537,2416,4.62,0.07,0.03098,0.02291
20190226024418,http://web.archive.org/web/20190226024418/https://twitter.com/JoeBiden,3322191,2019-02-26 02:44:18,148434,1897,4.68,0.06,0.03075,0.01942
20190227053431,http://web.archive.org/web/20190227053431/https://twitter.com/JoeBiden,3324473,2019-02-27 05:34:31,150716,2282,4.75,0.07,0.03061,0.02362
20190301023434,http://web.archive.org/web/20190301023434/https://twitter.com/JoeBiden,3329508,2019-03-01 02:34:34,155751,5035,4.91,0.15,0.03062,0.03108
20190302043746,http://web.archive.org/web/20190302043746/https://twitter.com/JoeBiden,3332103,2019-03-02 04:37:46,158346,2595,4.99,0.08,0.03057,0.02767
20190303141010,http://web.archive.org/web/20190303141010/https://twitter.com/joebiden,3334803,2019-03-03 14:10:10,161046,2700,5.07,0.08,0.03038,0.02236
20190304195323,http://web.archive.org/web/20190304195323/https://twitter.com/joebiden,3337207,2019-03-04 19:53:23,163450,2404,5.15,0.07,0.03023,0.02247
20190305211947,http://web.archive.org/web/20190305211947/https://twitter.com/joebiden,3338875,2019-03-05 21:19:47,165118,1668,5.2,0.05,0.03003,0.01821
20190307003524,http://web.archive.org/web/20190307003524/https://twitter.com/JoeBiden,3341041,2019-03-07 00:35:24,167284,2166,5.27,0.06,0.02989,0.02207
20190308011508,http://web.archive.org/web/20190308011508/https://twitter.com/JoeBiden,3342507,2019-03-08 01:15:08,168750,1466,5.32,0.04,0.02968,0.01651
20190309050558,http://web.archive.org/web/20190309050558/https://twitter.com/JoeBiden,3343355,2019-03-09 05:05:58,169598,848,5.34,0.03,0.02931,0.00846
20190310052442,http://web.archive.org/web/20190310052442/https://twitter.com/JoeBiden,3344263,2019-03-10 05:24:42,170506,908,5.37,0.03,0.02905,0.01082
20190311073848,http://web.archive.org/web/20190311073848/https://twitter.com/joebiden,3345304,2019-03-11 07:38:48,171547,1041,5.41,0.03,0.02876,0.01102
20190312140541,http://web.archive.org/web/20190312140541/https://twitter.com/JoeBiden,3347556,2019-03-12 14:05:41,173799,2252,5.48,0.07,0.02861,0.02055
20190314025442,http://web.archive.org/web/20190314025442/https://twitter.com/JoeBiden,3353313,2019-03-14 02:54:42,179556,5757,5.66,0.17,0.02893,0.04344
20190315032225,http://web.archive.org/web/20190315032225/https://twitter.com/JoeBiden,3355852,2019-03-15 03:22:25,182095,2539,5.74,0.08,0.02893,0.02883
20190316090549,http://web.archive.org/web/20190316090549/https://twitter.com/JoeBiden,3357970,2019-03-16 09:05:49,184213,2118,5.8,0.06,0.02877,0.01979
20190317163431,http://web.archive.org/web/20190317163431/https://twitter.com/JoeBiden,3360264,2019-03-17 16:34:31,186507,2294,5.88,0.07,0.02863,0.02024
20190319030203,http://web.archive.org/web/20190319030203/https://twitter.com/JoeBiden,3363214,2019-03-19 03:02:03,189457,2950,5.97,0.09,0.02854,0.02378
20190320085108,http://web.archive.org/web/20190320085108/https://twitter.com/JoeBiden,3365198,2019-03-20 08:51:08,191441,1984,6.03,0.06,0.02838,0.01848
20190322012504,http://web.archive.org/web/20190322012504/https://twitter.com/JoeBiden,3368764,2019-03-22 01:25:04,195007,3566,6.14,0.11,0.02829,0.02442
20190323021130,http://web.archive.org/web/20190323021130/https://twitter.com/JoeBiden,3370817,2019-03-23 02:11:30,197060,2053,6.21,0.06,0.02822,0.02302
20190324023425,http://web.archive.org/web/20190324023425/https://twitter.com/JoeBiden,3373259,2019-03-24 02:34:25,199502,2442,6.29,0.07,0.02822,0.02782
20190325024242,http://web.archive.org/web/20190325024242/https://twitter.com/JoeBiden,3375847,2019-03-25 02:42:42,202090,2588,6.37,0.08,0.02824,0.02978
20190326045614,http://web.archive.org/web/20190326045614/https://twitter.com/JoeBiden,3378167,2019-03-26 04:56:14,204410,2320,6.44,0.07,0.02819,0.02457
20190327173105,http://web.archive.org/web/20190327173105/https://twitter.com/JoeBiden,3380619,2019-03-27 17:31:05,206862,2452,6.52,0.07,0.02802,0.01862
20190329031618,http://web.archive.org/web/20190329031618/https://twitter.com/JoeBiden,3382997,2019-03-29 03:16:18,209240,2378,6.59,0.07,0.02788,0.01957
20190330031754,http://web.archive.org/web/20190330031754/https://twitter.com/JoeBiden,3384720,2019-03-30 03:17:54,210963,1723,6.65,0.05,0.02779,0.01992
20190331071912,http://web.archive.org/web/20190331071912/https://twitter.com/joebiden,3386726,2019-03-31 07:19:12,212969,2006,6.71,0.06,0.02769,0.01989
20190401095224,http://web.archive.org/web/20190401095224/https://twitter.com/JoeBiden,3388655,2019-04-01 09:52:24,214898,1929,6.77,0.06,0.0276,0.02018
20190402100701,http://web.archive.org/web/20190402100701/https://twitter.com/JoeBiden,3390602,2019-04-02 10:07:01,216845,1947,6.83,0.06,0.02754,0.02231
20190403102750,http://web.archive.org/web/20190403102750/https://twitter.com/JoeBiden,3393045,2019-04-03 10:27:50,219288,2443,6.91,0.07,0.02754,0.02787
20190404110322,https://webarchive.loc.gov/all/20190404110322/https://twitter.com/JoeBiden,3402347,2019-04-04 11:03:22,228590,9302,7.2,0.27,0.02839,0.10507
20190405163505,http://web.archive.org/web/20190405163505/https://twitter.com/JoeBiden,3418401,2019-04-05 16:35:05,244644,16054,7.71,0.47,0.02999,0.15102
20190407070311,http://web.archive.org/web/20190407070311/https://twitter.com/joebiden,3427211,2019-04-07 07:03:11,253454,8810,7.99,0.26,0.03055,0.06362
20190408191410,http://web.archive.org/web/20190408191410/https://twitter.com/JoeBiden,3430524,2019-04-08 19:14:10,256767,3313,8.09,0.1,0.03047,0.02543
20190409224927,http://web.archive.org/web/20190409224927/https://twitter.com/JoeBiden,3432578,2019-04-09 22:49:27,258821,2054,8.16,0.06,0.03036,0.02068
20190410225500,http://web.archive.org/web/20190410225500/https://twitter.com/JoeBiden,3434233,2019-04-10 22:55:00,260476,1655,8.21,0.05,0.03025,0.01908
20190411231659,http://web.archive.org/web/20190411231659/https://twitter.com/JoeBiden,3436291,2019-04-11 23:16:59,262534,2058,8.27,0.06,0.03018,0.02346
20190412233052,http://web.archive.org/web/20190412233052/https://twitter.com/JoeBiden,3438105,2019-04-12 23:30:52,264348,1814,8.33,0.05,0.03009,0.02079
20190413233428,http://web.archive.org/web/20190413233428/https://twitter.com/JoeBiden,3440485,2019-04-13 23:34:28,266728,2380,8.4,0.07,0.03006,0.02748
20190415012241,http://web.archive.org/web/20190415012241/https://twitter.com/JoeBiden,3443435,2019-04-15 01:22:41,269678,2950,8.5,0.09,0.03008,0.03176
20190416063354,http://web.archive.org/web/20190416063354/https://twitter.com/JoeBiden,3447098,2019-04-16 06:33:54,273341,3663,8.61,0.11,0.03013,0.03486
20190417093314,http://web.archive.org/web/20190417093314/https://twitter.com/JoeBiden,3449750,2019-04-17 09:33:14,275993,2652,8.7,0.08,0.0301,0.0273
20190418223124,http://web.archive.org/web/20190418223124/https://twitter.com/JoeBiden,3453122,2019-04-18 22:31:24,279365,3372,8.8,0.1,0.03003,0.02534
20190420003556,http://web.archive.org/web/20190420003556/https://twitter.com/JoeBiden,3455843,2019-04-20 00:35:56,282086,2721,8.89,0.08,0.03002,0.02899
20190421024426,http://web.archive.org/web/20190421024426/https://twitter.com/JoeBiden,3458410,2019-04-21 02:44:26,284653,2567,8.97,0.07,0.03,0.02728
20190422031612,https://www.webarchive.org.uk/wayback/archive/20190422031612mp_/https://twitter.com/joebiden,3460336,2019-04-22 03:16:12,286579,1926,9.03,0.06,0.02992,0.02181
20190423045401,http://web.archive.org/web/20190423045401/https://twitter.com/JoeBiden,3462279,2019-04-23 04:54:01,288522,1943,9.09,0.06,0.02984,0.02106
20190424061322,http://web.archive.org/web/20190424061322/https://twitter.com/JoeBiden,3464088,2019-04-24 06:13:22,290331,1809,9.15,0.05,0.02974,0.01984
